,row data,new title
0,University,University
1,Non-university research institution,Non-university research institution
2,Business or industry,Business or industry
3,Independent researcher,Independent researcher
4,Inter-governmental,Governmental or international organisation
5,Government,Governmental or international organisation
6,State college,University
7,Government research organisation,Governmental or international organisation
8,University + research institution,University and non-university research institution
9,Governmental institution,Governmental or international organisation
10,Local government,Governmental or international organisation
11,Public and university research institutions,University and non-university research institution
12,Institute of research,Non-university research institution
