row data,new title
University,University
Non-university research institution,Non-university research institution
Business or industry,Business or industry
Retired,Retired
Other,Other
Independent,Independent
Independent researcher,Independent
University of applied sciences,University
Unemployed,Other
Affliated college,University
College,University
Grand ecole_business school,University
Cso,Other
School,School
Private,Other
Fine arts academy,University
Cyprus international university/turkey ,University
Secondary school,School
International labour organisation,Non-university research institution
Human services organization,Non-university research institution
Research coordination project,Non-university research institution
National academy of sciences of ukraine,University
Advanced school of business,University
Government,Governmental or international organisation
Consultant mainly working for universities,Other
University hospital,Non-university research institution
Public administration,Governmental or international organisation
Business and university,Business or industry
Conservation ngo,Non-university research institution
I hold sessional appointments at universities and also i am foundation professor of a non university institution,Non-university research institution
University-affiliated,University
Emerita status - college,Retired
Freelance and contractual lecturer,Independent
None,Other
